"...1","date","mixToday","mixN2N","mixPM","mixTomorrow","twindToday","twindN2N","twindPM","twindTomorrow","swindToday","swindN2N","swindPM","swindTomorrow","precipToday","precipN2N","precipPM","precipTomorrow","tminToday","tminN2N","tminPM","tminTomorrow","tmaxToday","tmaxN2N","tmaxPM","tmaxTomorrow","ventToday","ventN2N","ventPM","created","ventTomorrow","yN2NPM","HR24PM","HR24OZ","HR24OZ_carus","HR24PMno","HR24no","humToday","humN2N","humPM","humTomorrow","cloudToday","cloudN2N","cloudPM","cloudTomorrow","peakoz8hr_carus","no2max_24"
322,2026-06-08,285.067513043478,451.3199,316.1792,859.2185,15.279,24.6458461538462,28.706,24.9402666666667,12.8096666666667,17.8465454545455,19.1373333333333,16.2976,61.3333333333333,61.8260869565217,59.6666666666667,31.9444444444444,12.9761904761905,13.9285714285714,14.7222222222222,14.8148148148148,12.9761904761905,13.9285714285714,14.7222222222222,14.8148148148148,4356,11123,9076,2026-06-08,21429,2.2,2.9,26.5,32.2,NA,NA,86.2857142857143,89.5555555555556,89.5,77.05,81.695652173913,86.5,84.1666666666667,75.3636363636364,41.375,-Inf
321,2026-06-07,722.535026086956,616.458,462.9404,287.038472727273,7.408,9.723,8.334,12.2232,3.704,4.4448,3.08666666666667,8.334,3.18181818181818,29.0588235294118,7.66666666666667,48.2666666666667,13.7037037037037,14.3859649122807,16.25,12.8148148148148,13.7037037037037,14.3859649122807,16.25,12.8148148148148,5353,5994,3858,2026-06-07,3509,NA,2.2,28.1,30.1,NA,NA,67.2857142857143,59.8125,56,83.3076923076923,73.2727272727273,84.5555555555556,88.8333333333333,85,33,-Inf
320,2026-06-06,721.011026086957,696.7347,494.6904,766.613563636364,19.0138666666667,17.5227692307692,13.427,11.3177777777778,10.3996923076923,8.99542857142857,7.408,4.63,46.7826086956522,34.75,23.8333333333333,7.16666666666667,12.7485380116959,12.25,13.4259259259259,13.5964912280702,12.7485380116959,12.25,13.4259259259259,13.5964912280702,13709,12209,6642,2026-06-06,8676,3,2.8,29.8,30.7,NA,NA,74.8333333333333,75.9411764705882,76.25,64.2,67.3181818181818,57.1578947368421,44.4,62.5,34.25,-Inf
316,2026-06-05,924.6997,880.7577,742.95,887.6538,11.9667692307692,12.8317142857143,14.816,14.353,8.7044,9.41433333333333,11.4824,9.67155555555556,1.83333333333333,1.5,1,9.22222222222222,17.3015873015873,16.4141414141414,19.8148148148148,14.4179894179894,17.3015873015873,16.4141414141414,19.8148148148148,14.4179894179894,11066,11302,11008,2026-06-05,12740,4.4,3.6,33.7,35.6,NA,NA,56.3809523809524,57.0434782608696,45,61.9565217391304,47.7272727272727,39.1052631578947,33.2,58.1666666666667,-Inf,-Inf
315,2026-06-04,924.6997,880.7577,742.95,887.6538,11.9667692307692,12.8317142857143,14.816,14.353,8.7044,9.41433333333333,11.4824,9.67155555555556,1.83333333333333,1.5,1,9.22222222222222,17.3015873015873,16.4141414141414,19.8148148148148,14.4179894179894,17.3015873015873,16.4141414141414,19.8148148148148,14.4179894179894,11066,11302,11008,2026-06-04,12740,4.4,3.6,33.7,35.6,NA,NA,56.3809523809524,57.0434782608696,45,61.9565217391304,47.7272727272727,39.1052631578947,33.2,58.1666666666667,37.375,-Inf
314,2026-06-03,668.492660869565,718.7565,637.1844,901.2809,17.2378461538462,14.46875,17.7792,10.9797142857143,10.4946666666667,9.26,11.112,7.871,4.63157894736842,1.85714285714286,2.6,1.5,18.5978835978836,17.1693121693122,18.6666666666667,17.1111111111111,18.5978835978836,17.1693121693122,18.6666666666667,17.1111111111111,11523,10400,11329,2026-06-03,9896,3.9,4.2,38.2,41.5,NA,NA,54.7727272727273,62.9130434782609,54.3333333333333,58.1666666666667,70.5714285714286,57.6,58.8333333333333,38.25,55.375,-Inf
313,2026-06-01,729.956243478261,754.888,530.352,861.0473,14.6925333333333,15.742,18.8904,11.9538181818182,10.2888888888889,10.4175,10.4946666666667,5.86466666666667,0,3,NA,1.66666666666667,19.7342995169082,22.1739130434783,25.2777777777778,23.8164251207729,19.7342995169082,22.1739130434783,25.2777777777778,23.8164251207729,10725,11883,10019,2026-06-01,10293,2.8,3.2,29.9,33.7,NA,NA,51.6190476190476,44.4545454545455,35.4,42.5217391304348,9.36842105263158,14.1666666666667,19.8333333333333,17.4545454545455,40.375,-Inf
312,2026-05-30,941.447686956522,873.8616,684.6824,800.9509,13.2726666666667,13.3344,19.446,13.89,8.334,8.83261538461539,12.964,8.92327272727273,0,NA,NA,NA,13.4920634920635,13.459595959596,15.8333333333333,14.8989898989899,13.4920634920635,13.459595959596,15.8333333333333,14.8989898989899,12496,11652,13314,2026-05-30,11125,NA,3,32.9,29.6,NA,NA,55.85,59.2608695652174,49,57.4782608695652,41.7391304347826,18.5,17,9.25,37.25,-Inf
311,2026-05-29,914.240973913043,851.6366,663.7528,1013.2822,17.7262857142857,15.4774285714286,20.372,13.9612307692308,11.6170909090909,9.42836363636364,12.964,8.5192,8.91666666666667,1.33333333333333,NA,NA,15.1754385964912,13.4391534391534,15.0925925925926,13.968253968254,15.1754385964912,13.4391534391534,15.0925925925926,13.968253968254,16206,13181,13522,2026-05-29,14147,NA,5.3,31.3,27.8,NA,NA,56.2352941176471,58.4545454545455,49.6,56.1363636363636,62.2380952380952,47.6,25.6666666666667,44.0833333333333,40.5,-Inf
310,2026-05-28,619.450581818182,761.9619,448.6148,975.5632,11.3435,13.5813333333333,14.816,15.742,8.02533333333333,10.9268,11.7293333333333,12.2232,15.7272727272727,19.3,26.1666666666667,16.6153846153846,20.4545454545455,19.0151515151515,22.2222222222222,14.8067632850242,20.4545454545455,19.0151515151515,22.2222222222222,14.8067632850242,7027,10348,6647,2026-05-28,15357,NA,4.3,32.8,31.7,NA,NA,61.8,61.3157894736842,53.6,62.35,35.4545454545455,67.0588235294118,78.5,66.3,43,-Inf
