...1,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,forecast_run_date,pdxtime,mixfillft,twindfillknot,tempfillf,swindfillmph,precipfill,humfill,cloudfill,mix,twind,swind,precip,temp,hum,cloud
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,2025-06-19T05:00:00Z,1471.000047,7.000002548,51,2.301558184,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2025-06-19T06:00:00Z,2049.000066,8.000002912,54,3.452337276,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,2025-06-19T07:00:00Z,2835.000091,8.000002912,56,4.603116368,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,2025-06-19T08:00:00Z,3622.000116,6.000002184,59,5.75389546,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,2025-06-19T09:00:00Z,4332.000139,6.000002184,62,4.603116368,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA,2025-06-19T10:00:00Z,4726.000151,6.000002184,65,5.75389546,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,2025-06-19T11:00:00Z,5041.000161,7.000002548,68,5.75389546,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,NA,2025-06-19T12:00:00Z,5486.000176,7.000002548,70,6.904674552,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,2025-06-19T13:00:00Z,5854.000187,8.000002912,71,6.904674552,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA,2025-06-19T14:00:00Z,6353.000203,9.000003276,72,6.904674552,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA,2025-06-19T15:00:00Z,6353.000203,9.000003276,72,6.904674552,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA,2025-06-19T16:00:00Z,5432.000174,10.00000364,72,9.206232736,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,NA,2025-06-19T17:00:00Z,3857.000123,12.00000437,69,9.206232736,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,NA,2025-06-19T18:00:00Z,3072.000098,12.00000437,66,9.206232736,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,NA,2025-06-19T19:00:00Z,631.0000202,12.00000437,63,9.206232736,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,NA,2025-06-19T20:00:00Z,2127.000068,12.00000437,60,8.055453644,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,NA,2025-06-19T21:00:00Z,2046.000065,11.000004,58,6.904674552,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,NA,2025-06-19T22:00:00Z,1944.000062,10.00000364,57,6.904674552,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,NA,2025-06-19T23:00:00Z,1995.000064,8.000002912,55,5.75389546,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,NA,2025-06-20T00:00:00Z,1810.000058,7.000002548,54,4.603116368,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,NA,2025-06-20T01:00:00Z,1625.000052,6.000002184,53,3.452337276,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,NA,2025-06-20T02:00:00Z,1155.000037,5.00000182,52,3.452337276,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,NA,2025-06-20T03:00:00Z,1024.000033,5.00000182,52,3.452337276,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
